ID,Star,Review
42,1,"Downloaded the app, only to be asked 3 million questions (some that had nothing to do with tracking ovulation), and then had to press some button on the screen for several seconds to ""commit"" to the app (super corny and annoying), only to then be told I had to pay yearly or monthly. The process is very tedious and frustrating. It doesn't matter what you click on on the app, if you haven't paid, you can't read anything. Frustrating and annoying experience. Uninstalling."
43,4,"Incredibly useful for tracking periods, as it adjusts to changes. I wish we could turn off, or skip parts of, the bot chat stuff. Its programming/information is too general and ultimately restrictive. I also would like more symptom options, even just an add your own that you can select again as needed. Thanks for the app!"
44,2,"I've had this app for about 5 years and really just used it to track my periods, which it is decent for. But over time, more and more features have been locked behind a paywall and I got very annoyed at the pop-ups telling me to buy a plan. The final straw was a bug that kept putting my symptoms on one day and my flow on the next, despite logging both on the same day. I just don't see the point in continuing to use an annoying and buggy app. I plan on tracking my periods on paper now."
45,1,"The only reason I still use this app is because it's been my tracking app for the last 8 years now. They keep taking away free features and making them only available with the paid subscription. I'm now pregnant again for the third time and now it won't even tell me anything other than how far along I am. Any insight it offers is no longer free! I have a feeling soon it won't even be free to use it at all. I would switch if it were easy to export my data into another app, but it's not."
46,2,"I loved this app, it was accurate and it allowed me to track my periods as well as my ovulation dates AND allowed me to monitor any abnormalities and as someone who has always had very irregular periods it was great. However now they want me to pay for all the things that made it great and I can no longer monitor for any issues like I used to without paying?! As women we are already nickel and dimed for items like pads and I might as well just go back to using a calendar if all I get is tracking"
47,2,"Some of the couples quizzes and information are kinda nice but as a period tracker couple sharing app it's terrible. She puts all her information in in detail and I get practically none of that information on my side even though that was our intention. There is no setting to change it either, it's locked away. I would understand if it was a privacy thing for some couples but it should be an option in her settings not locked away for everyone."
48,1,"Great for period tracking. Before pregnancy 5 star. Postpartum, more like a 1 star app. Now it seems the app is struggling. The calendar knows I was pregnant but does not take into account postpartum or breastfeeding. Just wish there was an option to put in breastfeeding and postpartum, so it's not constantly trying to tell me something is wrong with my cycle."
49,2,"It's nice to be able to track my period but instead of grabbing a pen and paper to do that I downloaded this because with how much is in the app I thought there would be more for free then just a period calendar. I expected understand and insights, and yet everything little thing I clicked on I had to pay for. The thing is, is that I would have paid for it if there was a bit more for free. This app wasn't created to help it was created for self purposes. nothing on here to help is for free."
50,3,"I've been using Flo for 5+ years, and it has been mostly great. Flo can predict my period often down to the day, and is helpful for tracking ovulation. Unfortunately in more recent years, they have progressively gotten rid of a lot of the free features that used to be included (such as evaluation chats, and articles), that now you have to pay for premium to use. It feels like everything that would be helpful to use to learn more about your cycle, they want you to have premium to access."
51,2,I wanna give it more stars become it is the best when it comes to tracking and getting tips and tricks for anything but I'm saying two stars because you only have access to like two things unless you pay. it's ridiculously expensive. why the heck do we have to pay for a pregnancy tracker or a health tracker in general. if we need the help and guidance it should be free our health shouldn't come with a cost. it's literally useless app without premium. please do something I loved this app
52,3,"I used to really like the app because for the free verison, yoi still got some knowledge about things you log or when you're pregnant, really helpful info about the baby as it grows. I got a new phone and couldn't access my account wasn't a big deal, bc I just made a new one, but now I cant acces I was able b4 other than logging my symptoms or settings. I can't look pretty much anything on the app bc it just puts me on page to buy the premium option. Im even locked out from the calendar."
53,3,"overall balanced app. 1 big nit pick is how you enter your weight. maybe some find having to spin and spin the weight wheele pleasing, I do not. if you could just tap and enter it like most other apps I would be more inclined to increase the rating. the other thing I noticed is that the overall design is simple but almost lacks in esthetic. back ground options, better/ more intricate designs. something of that nature would be awesome. these 2 things would add a star each in my opinion."
54,2,"it used to be a great app for tracking my period. once I paid for premium all it does is send me ads to renew which is so annoying. Whenever the app has a glitch and I have to reinstall it, it takes 15 mins to skip all of the questions,log back into my account. All of the information it had about pregnancy was inaccurate. The estimated sizes didn't match anything that I sourced from other sites, plus considering I was paying a premium for the feature the BUMP was free, accurate with 3D images."
55,4,"Overall great experience with this app. There are a few selections I'd love to see added. I had to stop birth control (after 16 years) for health reasons, and I wanted to keep track of my cycle as my body regulated, and so I could reduce my chances of getting pregnant, but that's not an option when asked why I got the app. I also use this as a mood/general well-being tracker, and noting how much quality sleep I got the night before would be super helpful to spot patterns there."
56,1,"This app is seriously one of those that are only out there for whatever they can get from whatever sucker is naive enough to sign up for my free trial. Most apps/companies have no problem refunding you- especially if it's within 5 minutes of being charged and reaching out to their customer service. They charged me at midnight, hoping I would not see, but I did. I find their services useless, that's why I deleted it a day after I downloaded it, I just forgot to cancel my subscription. 🚫❌🚫"
57,1,"I answered a million questions only to be told I had to pay a subscription for the data analysis. I declined and then got a message saying ""befire you start, we have a gift for you"". I clicked on it to find out that it was just a discounted yearly subscription. Even though I had not gotten a subscription, there was a box on my home page saying ""today's chance of pregnancy"" with a tick underneath but when I clicked, I was taken to the page of different subscriptions."
58,2,I had this app years ago and loved it so decided to download it again a couple of months ago. I'm disappointed in the amount of times I'm being asked to pay for a subscription. I used this app before with very minimal ads and there was no pressure to pay for premium. And now I can't escape the pop-ups multiple times just by opening the app I find myself just ignoring it and not actually using it because you're constantly being pushed to buy l.
59,1,dislike it. you have to subscribe and pay to view the simplest things on the app. not worth it unless you pay. the max you can do there is just tract your cycle. you can't use anything else mor read anything on there unless you pay. get another app that can help you and an app where you can do much more. this is not worth it. if you don't want to pay every month. and it's pretty expensive too when other apps offer so much more without paying.
60,1,"Edit 2025: my last review was complaining about the constant pop-ups and chats, that would only be useful if I paid for premium. I don't need them, anyway. Recently I got a new phone, and all of my tracking data for the last 2 years disappeared. So, I'm starting from scratch. I only need this to track my phases, which it can barely do, apparently. Will probably just transition to my Fitbit app exclusively, since it still has all my data from 2018 no problem."
61,1,"I've used the app for 9 years or so. App is only good for basic tracking unless you want to pay extra, I can do that on a paper calendar. The amount of stuff behind a pay wall is ridiculous and out of hand. I'm officially going to start looking for a different app. plus the data leaks? no thanks."
62,1,"I enjoyed using this app and it was always somewhat accurate but it kicked me out of my account for no reason. i switched phones and tried signing back in but it wont accept my email or password (which i know is correct) and when I tried to send reset instructions to my email, it won't send. this is all right after I finally caved and paid for the subscription. Now I can't even access the app."
63,1,"I have been apart of Flo since it's release and it's so sad to see the money grab app it's turned into today. Some of us use this app just to stay organized about the changes in our cycles, now you can't even open the app or navigate through it without a pop up begging for money. If I didn't only use it 5 days out of the month or didn't have 10 years worth of data stored I'd probably switch apps. Plus there's a whole class action lawsuit going on so that's fun!"
64,4,Great app! Very helpful! Just wish it weren't so pushy with premium. Everytime I go into the app it sends me a pop-up asking me to talk about how I feel because of that time. I try to ignore it but I really wish I could turn off those pop-ups. Other than that it's a solid period tracker. Even for my irregular cycles.
65,3,"I've used this app for 6+ years and I really loved it. unfortunately for the past year or two the app has been fairly glitchy for me. It no longer saves my logged periods to the point it's telling me I'm over a year late. it fails to predict cycle dates too. finally having to let this app go, which is sad as I've used it with all of my pregnancies."
66,2,"it was wonderful for years until now. the most essential features are officially only accessible via payment. tracking is useless to me now with all the information essentially being held hostage with a price point. five years ago, it was awesome. all the information was generally free. now with the most basic feature (fertility prediction and chances of conception) locked up and only being able to track *symptoms* I have grown to hate this once lovable and arguably essential tool."
67,2,"I used this app free for years and was happy with it's basic prediction functions, but recently I switched phones and all my data was lost. The login feature is totally broken and no matter which option I choose it takes me to an error page. I guess I won't miss the constant push for premium now that I've switched to a new app."
68,5,This app is great for tracking and predicting your period. I really like that you can change the focus based on your goals like getting pregnant or just simply tracking your cycle. I use the app all the time to plan trips. There are also some good articles and recommendations from professionals in the app. I would recommend this app.
69,3,this app could be awesome if there was a bit more inclusivity. I want to track my hormonal cycles while I have an IUD and there's no options without actively bleeding. there's also no entries for some of my regular symptoms and it is 99% centered around pregnancy and ovulation. theres a lot more to women's hormonal health and cycles and I would love to see an app like this that wasn't targeted at women trying to get pregnant or avoid getting pregnant.
70,3,"App is great for tracking moods, periods, and many other symptoms that helped me understand my body better. I had premium for a year or two and the advice didn't really change or was specifically tailored to me. I stopped premium and now when I click on content I'm not allowed to see anything, even though I thought some of it was basic health knowledge."
71,3,"I like Flo and have been using it for years. There's a few things that could be improved, though. #1, Paywall; having the insights behind a paywall is nonsense. Offer them as a one-time low-cost payment to have access if need be. #2, the constant pop-up to subscribe; this is beyond annoying. #3, no sign-in after a reinstall; having to go through that whole questionnaire process again is frustrating & time consuming. #4 Subscription cost; absolutely ridiculous for a period tracker app."
72,1,"worst tracking app. I'm so tired of getting asked for money. Especially when most of the ""advice"" or reasoning for things can be simply googled. Thought it would be convenient to have an app that has it all in one place, but paying for that is outrageous and comical. And usually I have no issue with apps that have a subscription, to each their own if they want to pay for a membership, don't care. But there is no touching anything on the app without the dang pop up to pay"
73,4,"update: had to re-login after getting a new phone and there needs to be an option to login before the long intro sequence. The intro should also just be fully skippable, and I could do without the ""long press"" to set my intentions. While I appreciate the personalization, forcing us to click through feels condescending. It's up to me why I use this app, that's the whole point. The process is enough to scare off new users as well. I've used flo for a long time, but these changes give me pause."
74,2,"it's fine for tracking periods, but it won't stop shoving a subscription in your face. It feels like every time you open the app, every time you click on something, read something, close something, it has to ask if you want to buy a subscription. It gets real annoying real fast. There are probably better tracker apps out there tbh."
75,2,"This app has a hard time with my irregular periods. When I log a period it doesn't always restart my cycle. Because of that, it often tells me to take pregnancy tests when I know I'm not pregnant. That chat bot conversations aren't very informative or personalized. I regret paying for the app for a year. I can see how it'd be useful for someone with more regular periods."
76,1,"I stopped paying for it when they started to give false biology. the app does nothing special other than track your pregnancy and period while looking pretty. other than that it prohibits the basic free information you can get from Google unless you pay for it to be shown on the app, there are several free apps that provide way more accurate information and articles without making a subscription. everything in the app is achievable for free."
77,4,"it's a very good tracker, and most of my periods have been right on track, I appreciate they allow a free trial, which is great, and I understand this can't be free but most things are restricted the only thing you can really do is track and chat with strangers but sometimes its not that helpful, Not everyone has money for it, and I think a simple solution is to allow at least 3 free articles, but this is just a recommendation."
78,2,"I believe the app would be really great If not for the constant asking to pay for the subscription. A reminder from time to time is fine, but it's a little overwhelming when it's done too much. A change in that direction would definitely make people more eager to actually consider the payment, while now it just gets annoying instead of encouraging."
79,1,"This app will let you open the app without creating an account. If you have to replace your phone or app is removed, you will never get your medical data back. The yrs of logging your data is just gone. If you remember info and want to back log, you can't. I'm very disappointed with how they can not pull up my account, even after sending proof of payment from my email. I'm pregnant right now and had important info in notes. Save your time and go somewhere else."
80,2,"It's advertised as one of the best ""free"" period tracking apps (which is why I downloaded), but every touchpoint is interrupted by a pay wall. It will waste your time with seemingly ""complimentary"" features only to hit you with the credit card request 20 questions in. Super annoying. would love a suggestion for an alternative. I think if you're trying to get pregnant it makes sense to pay, but it's annoying they advertise so much as a ""free"" platform when that tier is REALLY annoying to use"
81,4,"I love flo so much. It's been the only tracker to adapt to an irregular period cycle right away, which has been such a big help to me. I love all the chats with others going through similar things and I love that I'm able to share it all with my boyfriend on his phone. it makes our lives easier. however, I really wish it had a way to track how different birth controls are affecting you and track insertion dates for non pill options, and maybe a reminder when to book that Dr visit."
82,1,"Downloaded the app, only to be asked 3 million questions (some that had nothing to do with tracking ovulation), and then had to press some button on the screen for several seconds to ""commit"" to the app (super corny and annoying), only to then be told I had to pay yearly or monthly. The process is very tedious and frustrating. It doesn't matter what you click on on the app, if you haven't paid, you can't read anything. Frustrating and annoying experience. Uninstalling."
83,4,"Incredibly useful for tracking periods, as it adjusts to changes. I wish we could turn off, or skip parts of, the bot chat stuff. Its programming/information is too general and ultimately restrictive. I also would like more symptom options, even just an add your own that you can select again as needed. Thanks for the app!"
84,2,"I've had this app for about 5 years and really just used it to track my periods, which it is decent for. But over time, more and more features have been locked behind a paywall and I got very annoyed at the pop-ups telling me to buy a plan. The final straw was a bug that kept putting my symptoms on one day and my flow on the next, despite logging both on the same day. I just don't see the point in continuing to use an annoying and buggy app. I plan on tracking my periods on paper now."
85,1,"The only reason I still use this app is because it's been my tracking app for the last 8 years now. They keep taking away free features and making them only available with the paid subscription. I'm now pregnant again for the third time and now it won't even tell me anything other than how far along I am. Any insight it offers is no longer free! I have a feeling soon it won't even be free to use it at all. I would switch if it were easy to export my data into another app, but it's not."
86,2,"I loved this app, it was accurate and it allowed me to track my periods as well as my ovulation dates AND allowed me to monitor any abnormalities and as someone who has always had very irregular periods it was great. However now they want me to pay for all the things that made it great and I can no longer monitor for any issues like I used to without paying?! As women we are already nickel and dimed for items like pads and I might as well just go back to using a calendar if all I get is tracking"
87,2,"Some of the couples quizzes and information are kinda nice but as a period tracker couple sharing app it's terrible. She puts all her information in in detail and I get practically none of that information on my side even though that was our intention. There is no setting to change it either, it's locked away. I would understand if it was a privacy thing for some couples but it should be an option in her settings not locked away for everyone."
88,1,"Great for period tracking. Before pregnancy 5 star. Postpartum, more like a 1 star app. Now it seems the app is struggling. The calendar knows I was pregnant but does not take into account postpartum or breastfeeding. Just wish there was an option to put in breastfeeding and postpartum, so it's not constantly trying to tell me something is wrong with my cycle."
89,2,"It's nice to be able to track my period but instead of grabbing a pen and paper to do that I downloaded this because with how much is in the app I thought there would be more for free then just a period calendar. I expected understand and insights, and yet everything little thing I clicked on I had to pay for. The thing is, is that I would have paid for it if there was a bit more for free. This app wasn't created to help it was created for self purposes. nothing on here to help is for free."
90,3,"I've been using Flo for 5+ years, and it has been mostly great. Flo can predict my period often down to the day, and is helpful for tracking ovulation. Unfortunately in more recent years, they have progressively gotten rid of a lot of the free features that used to be included (such as evaluation chats, and articles), that now you have to pay for premium to use. It feels like everything that would be helpful to use to learn more about your cycle, they want you to have premium to access."
91,2,I wanna give it more stars become it is the best when it comes to tracking and getting tips and tricks for anything but I'm saying two stars because you only have access to like two things unless you pay. it's ridiculously expensive. why the heck do we have to pay for a pregnancy tracker or a health tracker in general. if we need the help and guidance it should be free our health shouldn't come with a cost. it's literally useless app without premium. please do something I loved this app
92,3,"I used to really like the app because for the free verison, yoi still got some knowledge about things you log or when you're pregnant, really helpful info about the baby as it grows. I got a new phone and couldn't access my account wasn't a big deal, bc I just made a new one, but now I cant acces I was able b4 other than logging my symptoms or settings. I can't look pretty much anything on the app bc it just puts me on page to buy the premium option. Im even locked out from the calendar."
93,3,"overall balanced app. 1 big nit pick is how you enter your weight. maybe some find having to spin and spin the weight wheele pleasing, I do not. if you could just tap and enter it like most other apps I would be more inclined to increase the rating. the other thing I noticed is that the overall design is simple but almost lacks in esthetic. back ground options, better/ more intricate designs. something of that nature would be awesome. these 2 things would add a star each in my opinion."
94,2,"it used to be a great app for tracking my period. once I paid for premium all it does is send me ads to renew which is so annoying. Whenever the app has a glitch and I have to reinstall it, it takes 15 mins to skip all of the questions,log back into my account. All of the information it had about pregnancy was inaccurate. The estimated sizes didn't match anything that I sourced from other sites, plus considering I was paying a premium for the feature the BUMP was free, accurate with 3D images."
95,4,"Overall great experience with this app. There are a few selections I'd love to see added. I had to stop birth control (after 16 years) for health reasons, and I wanted to keep track of my cycle as my body regulated, and so I could reduce my chances of getting pregnant, but that's not an option when asked why I got the app. I also use this as a mood/general well-being tracker, and noting how much quality sleep I got the night before would be super helpful to spot patterns there."
96,1,"This app is seriously one of those that are only out there for whatever they can get from whatever sucker is naive enough to sign up for my free trial. Most apps/companies have no problem refunding you- especially if it's within 5 minutes of being charged and reaching out to their customer service. They charged me at midnight, hoping I would not see, but I did. I find their services useless, that's why I deleted it a day after I downloaded it, I just forgot to cancel my subscription. 🚫❌🚫"
97,1,"I answered a million questions only to be told I had to pay a subscription for the data analysis. I declined and then got a message saying ""befire you start, we have a gift for you"". I clicked on it to find out that it was just a discounted yearly subscription. Even though I had not gotten a subscription, there was a box on my home page saying ""today's chance of pregnancy"" with a tick underneath but when I clicked, I was taken to the page of different subscriptions."
98,2,I had this app years ago and loved it so decided to download it again a couple of months ago. I'm disappointed in the amount of times I'm being asked to pay for a subscription. I used this app before with very minimal ads and there was no pressure to pay for premium. And now I can't escape the pop-ups multiple times just by opening the app I find myself just ignoring it and not actually using it because you're constantly being pushed to buy l.
